index,username,tweet_id,tweet_text,translated_text,org_step_1,org_step_2,relevant,category,query,datetime_of_tweet,datetime_of_query,link,mentioned_location,location,image,Chadchad
0111,suppawatz,1722472925314666709,"เรียน ท่าน สส ครับ

ขอรบกวนช่วยปรับปรุงบริเวณทางเดิน ซอย อุดมสุข 58 ทั้งทางเท้า ท่อระบายน้ำ รวมถึง ความสว่างทางเดินบริเวณกลางคืน หน่อยครับ","Dear Mr. S.S.

I would like to ask for help in improving the walkway area of ​​Soi Udomsuk 58, including sidewalks, drainage pipes, and the brightness of the walkways at night.",สนง.โยธา,สนง.โยธา,TRUE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""อนุสาวรีย์ชัยฯ"" OR ""อรุณอมรินทร์"" OR ""อังรีดูนังต์"" OR ""อัสสัมชัญ"" OR ""อาจณรงค์"" OR ""อิสรภาพ"" OR ""อุดมสุข"" OR ""อู่ทองนอก"" OR ""อู่ทองใน"" OR ""อโศก-ดินแดง"" OR ""อโศก-เพชรบุรี"" OR ""อโศก"" OR ""อ่อนนุช"" OR ""เกษมราษฎร์"" OR ""เกียกกาย"")",2023-11-09 4:35:22,2023-11-16 16:29:11,https://twitter.com/suppawatz/status/1722472925314666709,อุดมสุข,,[],no
0112,suppawatz,1722471859357409646,"@TOTOPiyarat 

เรียน ท่าน สส ครับ

มีเรื่องจะขอรบกวนครับ
รบกวนช่วยปรับปรุง ทางเดิน รวมถึงแสงสว่างเวลากลางคืน ซอยอุดมสุข 58 หน่อยได้ไหมครับ อยากให้ลองมาทานหมาล่าสุกี้จินดาดู 

ทางเปลี่ยวมืด แถมมีน้องหมา อีก 

หากสามารถติดตามความคืบหน้าของสะพานได้ด้วยจะดีมากครับ

ขอบคุณครับ","@TOTOPiyarat

Dear Mr. S.S.

I have something to disturb.
Could you please help improve the walkway, including the lighting at night, at Soi Udomsuk 58? I want you to try eating Ma La Suki Jinda.

It's a dark, lonely road, and there's a dog.

If you can follow the progress of the bridge as well, that would be great.

thank you",สนง.โยธา,สนง.โยธา,TRUE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""อนุสาวรีย์ชัยฯ"" OR ""อรุณอมรินทร์"" OR ""อังรีดูนังต์"" OR ""อัสสัมชัญ"" OR ""อาจณรงค์"" OR ""อิสรภาพ"" OR ""อุดมสุข"" OR ""อู่ทองนอก"" OR ""อู่ทองใน"" OR ""อโศก-ดินแดง"" OR ""อโศก-เพชรบุรี"" OR ""อโศก"" OR ""อ่อนนุช"" OR ""เกษมราษฎร์"" OR ""เกียกกาย"")",2023-11-09 4:31:07,2023-11-16 16:29:11,https://twitter.com/suppawatz/status/1722471859357409646,อุดมสุข,,[],no
0118,baimaibaijai,1722262181843263828,ใจคอกทมจะปล่อย #เยาวราช ไปตามสภาพแบบนี้จริงๆอ่ะหรอ ต้นไม้ไม่มี ถนนสกปรกน้ำขัง ทางเท้าแคบพัง รถยนต์ (ส่วนใหญ่แท็กซี่) วิ่งตลอดเวลาทั้งที่คนเดินเต็มถนน กินบุญเก่าไปเรื่อยๆ ไม่คิดจะพัฒนาให้สมเป็นย่านของกินระดับโลกเลย @chadchart_trip #ชัชชาติ,"Will Bangkok's heart really let #Yaowarat go in this condition? No trees, dirty roads, waterlogged? The narrow sidewalks are broken, cars (mostly taxis) move constantly even though the streets are full of pedestrians. Keep eating old merit. I don't think it will be developed to be a world-class food district at all. @chadchart_trip #Chatchart",สนง.โยธา,สนง.โยธา,TRUE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""กรุงเทพ"" OR ""กทม"" OR ""ชัชชาติ"")",2023-11-08 14:37:56,2023-11-16 14:52:12,https://twitter.com/baimaibaijai/status/1722262181843263828,เยาวราช,,[],no
0119,natchan0n,1722248761672687785,วันนี้เห็นตรงข้ามตลาดคลองเตย ถ.พระราม 4 แขวนขายรองเท้าริมถนน วางบนทางเท้า,"Today I saw a shop opposite Khlong Toei Market, Rama IV Road, selling shoes on the roadside, placed on the sidewalk.",สนง.เทศกิจ,สนง.เทศกิจ,TRUE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""ประเวศ"" OR ""คลองเตย"" OR ""สวนหลวง"" OR ""จอมทอง"" OR ""ดอนเมือง"" OR ""ราชเทวี"" OR ""ลาดพร้าว"" OR ""วัฒนา"" OR ""บางแค"" OR ""หลักสี่"" OR ""สายไหม"" OR ""คันนายาว"" OR ""สะพานสูง"" OR ""วังทองหลาง"" OR ""คลองสามวา"")",2023-11-08 13:44:37,2023-11-16 15:25:10,https://twitter.com/natchan0n/status/1722248761672687785,คลองเตย,,[],no
0124,BPoppynotwo,1722158474774413513,ท่านผู้ว่าควรสั่งทุกเขตตรวจสอบฟุตบาทกับถนน ด่วนๆจ้า มาดูแถวลาดพร้าว ถนนที่รถไฟฟ้าสายสีเหลืองทำ ทุกวันนี้ยังทำไม่เสร็จเลยจ้า สงสัยชาติหน้ามั่งคงเสร็จ,"The governor should order every district to urgently check the sidewalks and roads. Let's look at the Lat Phrao area. The road made by the Yellow Line To this day, it's still not finished. I doubt that in the next life it will be complete.",สนง.โยธา,สนง.โยธา,TRUE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""ประเวศ"" OR ""คลองเตย"" OR ""สวนหลวง"" OR ""จอมทอง"" OR ""ดอนเมือง"" OR ""ราชเทวี"" OR ""ลาดพร้าว"" OR ""วัฒนา"" OR ""บางแค"" OR ""หลักสี่"" OR ""สายไหม"" OR ""คันนายาว"" OR ""สะพานสูง"" OR ""วังทองหลาง"" OR ""คลองสามวา"")",2023-11-08 7:45:51,2023-11-16 15:25:10,https://twitter.com/BPoppynotwo/status/1722158474774413513,ลาดพร้าว,,['https://pbs.twimg.com/media/F-YvdXqa0AAghkq?format=jpg&name=small'],no
0130,SR_boss2023,1722071348451971366,ผมเช่าหอพักที่ย่านนึงในพญาไท #ชัชชาติ มีความตั้งใจที่จะปรับปรุงระบบท่อระบายน้ำให้น้ำระบายเร็วขึ้น แต่บางอย่างใช้ไม่ได้เช่น ทางเดินชั่วคราว รวมถึงสายไฟระโยงระยางเหมือนเดิม ล่าสุดทางเท้าเดินง่ายขึ้นนิดนึงครับ,"I rent a dormitory in an area in Phaya Thai, #Chatchat, with the intention of improving the sewer system to allow water to drain faster. But some things don't work, e.g. temporary walkway Including the same electrical wiring as before. Recently, the sidewalks have become a little easier to walk on.",สนง.โยธา,สนง.โยธา,TRUE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""กรุงเทพ"" OR ""กทม"" OR ""ชัชชาติ"")",2023-11-08 1:59:38,2023-11-16 14:52:12,https://twitter.com/SR_boss2023/status/1722071348451971366,พญาไท,,"['https://pbs.twimg.com/media/F-YGwEXasAA9IuL?format=jpg&name=small', 'https://pbs.twimg.com/media/F-YGwema0AAw6eC?format=jpg&name=small', 'https://pbs.twimg.com/media/F-YGw5UbsAAE8xE?format=jpg&name=360x360']",no
0134,napapon_bkn,1721867211168678362,"ได้รับแจ้งจากประธานชุมชนตรอกไผ่-บางเสาธง ทางเดินเท้าในชุมชนชำรุดเสียหาย อาจเกิดอุบัติเหตุแก่ผู้ใช้ทาง วันนี้ดำเนินการซ่อมแซมให้เรียบร้อยครับ

ส.ก.นภาพล จีระกุล
เขตบางกอกน้อย

 T. 081 406-8048
#รับใช้ประชาชนเสมอต้นเสมอปลาย","Received notification from the president of the Trok Phai-Bang Sao Thong community. The footpath in the community is damaged. There may be an accident for road users. Today the repairs have been completed.

S.K. Napapon Jirakul
Bangkok Noi District

 T. 081 406-8048
#Serve the people consistently.",สนง.โยธา,สนง.โยธา,TRUE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""ห้วยขวาง"" OR ""คลองสาน"" OR ""ตลิ่งชัน"" OR ""บางกอกน้อย"" OR ""บางขุนเทียน"" OR ""ภาษีเจริญ"" OR ""หนองแขม"" OR ""ราษฎร์บูรณะ"" OR ""บางพลัด"" OR ""ดินแดง"" OR ""บึงกุ่ม"" OR ""สาทร"" OR ""บางซื่อ"" OR ""จตุจักร"" OR ""บางคอแหลม"")",2023-11-07 12:28:28,2023-11-16 15:20:42,https://twitter.com/napapon_bkn/status/1721867211168678362,บางกอกน้อย,,"['https://pbs.twimg.com/media/F-VNGENbQAAlge7?format=jpg&name=360x360', 'https://pbs.twimg.com/media/F-VNGRubYAAeU5y?format=jpg&name=360x360', 'https://pbs.twimg.com/media/F-VNGfHaIAEZCo1?format=jpg&name=360x360', 'https://pbs.twimg.com/media/F-VNGplaQAA1uO2?format=jpg&name=360x360']",no
0149,Sirilapas_mfp,1721420448230236404,"หมิวลงพื้นที่ชุมชนลำสาลีพัฒนาร่วมกับท่าน ผอ. เขตบางกะปิ เพื่อรับฟังปัญหาของพี่น้องในชุมชนค่ะ 
.
โดยปัญหาหลักๆที่พบในชุมชนคือ ไฟฟ้าดับหลายจุด ถนนทางเดินในชุมชนและทางเดินริมคลองผุพังเสียหาย รวมถึงปัญหาขยะที่ลอยมาตามคลองที่ส่งผลกระทบต่อระบบนิเวศในชุมชน
หมิวและทางผอ.…","Mew went to the Lam Sali Pattana community area together with the Director of Bang Kapi District to listen to the problems of brothers and sisters in the community.
.
The main problems found in the community are Power outage in many places Community walkways and canal walkways are decayed and damaged. Including the problem of garbage floating along the canal that affects the ecosystem in the community.
Mew and the director...",สนง.โยธา,สนง.โยธา,TRUE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""พระนคร"" OR ""หนองจอก"" OR ""บางรัก"" OR ""บางเขน"" OR ""บางกะปิ"" OR ""ปทุมวัน"" OR ""ป้อมปราบศัตรูพ่าย"" OR ""พระโขนง"" OR ""มีนบุรี"" OR ""ลาดกระบัง"" OR ""ยานนาวา"" OR ""สัมพันธวงศ์"" OR ""พญาไท"" OR ""ธนบุรี"" OR ""บางกอกใหญ่"")",2023-11-06 6:53:11,2023-11-16 15:16:13,https://twitter.com/Sirilapas_mfp/status/1721420448230236404,บางกะปิ,,"['https://pbs.twimg.com/media/F-O2wWQawAAdpal?format=jpg&name=360x360', 'https://pbs.twimg.com/media/F-O2wtNbgAATNBc?format=jpg&name=360x360', 'https://pbs.twimg.com/media/F-O2xFYbMAArEIH?format=jpg&name=360x360', 'https://pbs.twimg.com/media/F-O2xaWaEAAIX1p?format=jpg&name=360x360']",no
0158,ArtThanyathorn,1720798138674676109,"[ โครงการปรับปรุงทางเดินสาธารณะ ซอยเพชรเกษม 41 ]
.
ผมพร้อมทีมงาน ลงพื้นที่ร่วมกับเจ้าหน้าที่ฝ่ายโยธา สำนักงานเขตบางแค ในซอยเพชรเกษม 41 เพื่อดำเนินการวัดระยะความยาวทางเดินสาธารณะ ในโครงการปรับปรุงขยายทางเดินเดิมซึ่งแคบและชำรุดทรุดโทรม
.…","[ Public walkway improvement project, Soi Phetkasem 41 ]
.
I'm ready with my team. Visit the area together with public works officials. Bang Khae District Office in Soi Phetkasem 41 to measure the length of public walkways In the project to improve and widen the old walkway which was narrow and dilapidated
.…",สนง.โยธา,สนง.โยธา,TRUE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""เจริญกรุง"" OR ""เจริญนคร"" OR ""เจริญราษฎร์"" OR ""เชื้อเพลิง"" OR ""เตาปูน"" OR ""เทพลีลา"" OR ""เทียมร่วมมิตร"" OR ""เพชรบุรี"" OR ""เพชรเกษม"" OR ""เพลินจิต"" OR ""เยาวราช"" OR ""เย็นอากาศ"" OR ""เลียบทางด่วน"" OR ""เลียบด่วน"" OR ""เลียบทางด่วนเอกมัย-รามอินทรา"")",2023-11-04 13:40:21,2023-11-16 16:34:05,https://twitter.com/ArtThanyathorn/status/1720798138674676109,บางแค,,"['https://pbs.twimg.com/media/F-GAyGzaoAEaGuO?format=jpg&name=360x360', 'https://pbs.twimg.com/media/F-GAyG5bQAAajNZ?format=jpg&name=360x360', 'https://pbs.twimg.com/media/F-GAyG1b0AAUbuq?format=jpg&name=360x360', 'https://pbs.twimg.com/media/F-GAyG3aAAA1ajM?format=jpg&name=360x360']",no
0162,bxmx0808,1720692473738203489,แล้วน้ำมันเอ่อล้นลงไปถนน ค้างอยู่ริมทางถนนอะ เวลารถวิ่งไปมา ก็เหยียบไปเรื่อยๆ บ้างก็กระเด็นไปบนทางเท้าอีก รบกวน #ผู้ว่ากรุงเทพฯ #กรมโยธา #จตุจักร ดำเนินการให้เห็นผลด้วยค่ะ  @chadchart_trip  และขอเป็นกำลังใจให้ทีมงานทุกท่านที่เหนื่อยแรงกายแรงใจปฏิบัติหน้าที่ด้วยนะคะ ขอบคุณมากๆค่ะ,Then the oil overflowed onto the road. Stuck on the side of the road. When the car goes back and forth Just keep stepping on it. Some were thrown onto the sidewalk again. Please disturb #Bangkok Governor #Public Works Department #Chatuchak to take action to see results. @chadchart_trip And I would like to give encouragement to all the team members who are tired and tired of performing their duties. thank you very much,สนง.โยธา,สนง.โยธา,TRUE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""ห้วยขวาง"" OR ""คลองสาน"" OR ""ตลิ่งชัน"" OR ""บางกอกน้อย"" OR ""บางขุนเทียน"" OR ""ภาษีเจริญ"" OR ""หนองแขม"" OR ""ราษฎร์บูรณะ"" OR ""บางพลัด"" OR ""ดินแดง"" OR ""บึงกุ่ม"" OR ""สาทร"" OR ""บางซื่อ"" OR ""จตุจักร"" OR ""บางคอแหลม"")",2023-11-04 6:40:29,2023-11-16 15:20:42,https://twitter.com/bxmx0808/status/1720692473738203489,จตุจักร,,[],no
